Year,Winner,Olney,Liberal
2024,L,Kaisa Larkas,Pamela Bolivar
2023,O,Eloise Kramer,Isabelle Sullenger
2022,L,Katie Godof,Whitney Hay
2021,NA,,
2020,O,Katie Godof,Whitney Hay
2019,L,Amy Butler,Maggie Lapinski
2018,L,Katie Godof,Gabbie Covarrubias
2017,,Kaisa Larkas,Maggie Lapinski
2016,O,Lianne Fisher,Summer Parsons
2015,L,Emma Maitland,Hannah Belron
2014,O,Devon Byrne,Summer Parsons
2013,O,Devon Byrne,Caitlin Demarest
2012,O,Devon Byrne,Kaela Kruegar
2011,L,Nicky Sallis,Nicole Schowengerdt
2010,L,Jane Hughes,Cheri Bevis
2009,L,Jane Hughes,Natasha Gallegos
2008,L,Amanda Brear,Amanda Curtis
2007,L,Jane Hughes,Jessica Lash
2006,O,Andrea Rawlings,Erin Lowan
2005,L,Andrea Rawlings,Jill Wetstein
2004,L,Andrea Rawlings,Cheri Bevis
2003,L,Juliette Minter,Cheri Bevis
2002,L,Juliette Minter,Melissa Hurla
2001,L,Juliette Minter,Lisa Spellman
2000,L,Avril Soman,Lisa Spellman
1999,L,Natalie Thomas,Lisa Spellman
1998,O,Natalie Thomas,Christy Riffel
1997,L,Avril Soman,Christina Wilbers
1996,O,Dawn Galyot,Christina Wilbers
1995,O,Jackie Bowden,Lou Ann Barker
1994,O,Claire Whittle,Lisa Biddle
1993,L,Lesley Byrne,Mindy Amerin
1992,L,Susan Jones,Vicky van Sickle
1991,O,Alison Steele,Carla Patterson
1990,L,Alison Steele,Carla Patterson
1989,O,Lesley Byrne,Donnetta Schindler
1988,O,Lesley Byrne,Marcia Streiff
1987,O,Elizabeth Bartlett,Marcia Streiff
1986,O,Elizabeth Bartlett,Shelley Welsh
1985,O,Sally Swallow,Marcia Streiff
1984,O,Louise Fitzgerald,Mona Canaday
1983,O,Linda Carey,Joyce Heeb
1982,L,Rosemary Ludgate,Barbara McCaffery
1981,O,Rosemary Ludgate,Gillian Brewer
1980,,"R Ludgate, S Smith",Sheila Turner
1979,O,Julie Perks,Barbara McWilliams
1978,L,June Strauthum,Stephanie Wagner
1977,L,Sallyann Faulkner,Mary Bender
1976,L,Susan Hillier,Sheila Turner
1975,L,Sallyann Faulkner,Sheila Turner
1974,L,Sallyann Faulkner,Patricia Cheeks
1973,L,Ella Crouch,Pat Clark
1972,L,Ella Crouch,Kathleen West
1971,L,Ruth Faulkner,Barbara Rinehart
1970,L,Sylvia Winstanley,Kathleen West
1969,O,Sylvia Winstanley,Raneta Pomroy
1968,O,Mary Dix,Janice Grant
1967,O,Janet Bunker,Lynda Fox
1966,L,Janet Bunker,Rachel Crites
1965,L,Jennifer Andrews,Grace Riggs
1964,O,Bridget Lowrie,Grace Kostreva
1963,L,Linda Risby,Mary Barrington
1962,O,Carol Vorley,Vicky Campbell
1961,L,Carol Vorley,Carolyn McGlamery
1960,O,Carol Vorley,Anne Hueter
1959,L,Bridget Lowrie,Mary Collingwood
1958,O,Sandra Sibley,Mary Collingwood
1957,O,Sandra Sibley,Mary Collingwood
1956,L,Cicely Sparrow,Nina Jordan
1955,L,Doris Milward,Binnie Dick
1954,L,Joan Keech,Binnie Dick
1953,O,Isabella Dix,Binnie Dick
1952,L,Isabella Dix,Joan Zimmerman
1951,O,Isabella Dix,Emagene Bruce
1950,O,Florence Callow,Billie Warden
